,shop_name,d1,d2
0,전남고흥,전남,고흥군고흥읍
0,진주하대,경남,진주시
0,망원,서울,마포구
0,마산진동,경남,창원시
0,순창D/T,전북,순창군
0,이천증포,경기,이천시
0,부천도당,경기,부천시
0,광주신용,광주,북구
0,서원대,충북,청주시
0,대전관저,대전,서구
0,고양관산,경기,고양시
0,김해내외D/I,경남,김해시
0,제주삼화지구,제주,제주시
0,대구진천역,대구,달서구
0,논산연무,충남,논산시연무읍
0,김포운양,경기,김포시
0,호매실DI,경기,수원시
0,인천청라호수공원,인천,서구
0,부산다대포,부산,사하구
0,거제아주,경남,거제시
0,일산대화역,경기,고양시
0,평택지산,경기,평택시
0,경북풍기,경북,영주시
0,임실,전북,임실군임실읍
0,부산남포,부산,중구
0,삼송신원,경기도,고양시
0,여수웅천지구,전남,여수시
0,광주태전,경기,광주시
0,대전한밭대,대전,유성구
0,익산배산,전북,익산시
0,경남남지,경남,창녕군남지읍
0,오금,서울,송파구
0,롯데마트여천,전남,여수시
0,원주태장,강원,원주시
0,세곡,서울,강남구
0,롯데백잠실광장,서울,송파구
0,군자,서울,광진구
0,보광,서울,용산구
0,당진,충남,당진시
0,방이역,서울,송파구
0,부천시청역,경기,부천시
0,상일동,서울,강동구
0,영천D/T,경북,영천시
0,완주삼례,전북,완주군
0,화성조암,경기,화성시
0,대구청구네거리,대구,수성구
0,담양D/I,전남,담양군
0,인천불로,인천,서구
0,서면일번가,부산,부산진구
0,강동구청D/T,서울,강동구
0,순천신대,전남,순천시
0,경남함안,경남남도,함안군
0,덕성여대,서울,강북구
0,송도센트럴파크,인천,연수구
0,부산토곡,부산,연제구
0,후암,서울,용산구
0,울산전하,울산,동구
0,대소,충북,음성군
0,서산호수공원,충남,서산시
0,부안,전북,부안군
0,동대구역사2호,대구,동구
0,인천검단,인천,서구
0,시흥거모,경기,시흥시
0,개봉,서울,구로구
0,화성사강D/T,경기,화성시
0,대전관평,대전,유성구
0,의정부시청,경기,의정부시
0,성주,경북,성주군
0,망포역,경기,수원시
0,봉천역,서울,관악구
0,개포,서울,강남구
0,녹번,서울,은평구
0,휘닉스파크,강원,평창군
0,홈플러스상봉,서울,중랑구
0,온양D/T,충남,아산시
0,용인양지,경기,용인시
0,수원곡반정,경기,수원시
0,인천동춘,인천,연수구
0,화천사내,강원,화천군
0,분당수내동,경기도,성남시
0,대전터미널,대전,동구
0,하나로부산,부산,북구
0,학동역,서울,강남구
0,진주평거,경남,진주시
0,하남풍산,경기,하남시
0,구의역,서울,광진구
0,문경새재,문경새재도립공원,관리사무소
0,인천소래포구역,인천,남동구
0,홈플러스남현,서울,관악구
0,인천허브D/I,인천,중구
0,천안독립기념관,충남,천안시
0,만안구청,경기,안양시
0,순천향대학D/T,충남,아산시
0,김포사우,경기,김포시
0,강진,전남,강진군
0,부산신모라,부산,사상구
0,경산진량,경북,경산시
0,부여아울렛,충남,부여군
0,천안성정,충남,천안시
0,하나로마트남창원,경남,창원시
0,양주백석D/T,경기,양주시
0,안동터미널,경북,안동시
0,천안안서D/T,충북,천안시
0,홈플러스인천청라,인천,서구
0,대전대동,대전,동구
0,마산역,경남,창원시
0,부천약대,경기도,부천시
0,답십리,서울,성동구
0,익산동산,전북,익산시
0,번동D/T,번동사거리,현대주유소
0,대전대사,대전,중구
0,용인동천,경기,용인시
0,장흥,전남,장흥군
0,문정로데오,서울,송파구
0,익산영등,전북,익산시
0,안양호계,경기,안양시
0,전주중화산,전북,전주시
0,대전가수원,대전,서구
0,군산조촌D/T,전북,군산시
0,김해아울렛식당가,경남,김해시
0,역삼,서울,강남구
0,대구대곡역,대구,달성군
0,완주봉동,전북,완주군
0,잠실새내,서울,송파구
0,부산하단,부산,사하구
0,천호역,서울,강동구
0,안양중앙,경기도,안양시
0,홈플러스경산,경북,경산시
0,별내신도시,경기,남양주시
0,홈플러스오산세교,경기,오산시
0,대전가양D/T,대전,대덕구
0,대전복수,대전,서구
0,수원역사,경기,수원시
0,안산반월,경기,안산시
0,창동역,서울,도봉구
0,송산휴게소,경기,화성시
0,인천동양,인천,계양구
0,홈플러스합정,서울,마포구
0,광주운암DI,광주,북구
0,여주375아울렛,경기,여주시
0,의정부녹양역,경기,의정부시
0,용인보라,경기,용인시
0,별내,경기,남양주시
0,지행역,경기,동두천시
0,홈플러스대구성서,대구,달서구
0,부산감천,부산,사하구
0,청주분평D/T,충북,청주시
0,전주인후,전북,전주시
0,인천갈산,인천,부평구
0,숭실대입구역,서울특별시,동작구
0,수원호매실,경기,수원시
0,목포하당,전남,목포시
0,엘리시안강촌리조트,강원,춘천시
0,홈플러스인천숭의,인천,남구
0,목동,서울,양천구
0,홈플러스대구,대구,북구
0,홈플러스부산가야,부산,진구
0,롯데마트서청주,충북,청주시
0,안양박달D/I,경기,안양시
0,인천부개역,인천,부평구
0,대전카이스트,대전,유성구
0,대흥역,서울,마포구
0,경주,경북,경주시
0,홈플러스인천가좌,인천,서구
0,울산방어,울산,동구
0,인천석바위,인천,남구
0,롯데마트시흥,경기,시흥시
0,진해용원,경남,창원시
0,중랑역,서울,중랑구
0,천안안서,충남,천안시
0,부산기장,부산,기장군
0,서산휴게소(下),충남,서산시
0,속초터미널,강원,속초시
0,문막휴게소,강원,원주시
0,홈플러스유성,대전시,유성구
0,안양관양,경기,안양시
0,남원도통,전북,남원시
0,용인역북,경기,용인시
0,정선에코리조트,강원,정선군
0,동묘역,서울,종로구
0,망상,강원,동해시
0,온양온천,충남,아산시
0,부산거제,부산,연제구
0,강남우성사거리,서울,강남구
0,선릉,서울,강남구
0,대전도안신도시,대전,유성구
0,대전유성,대전,유성구
0,홈플러스안동,경북,안동시
0,목포대학,전남,무안군
0,대전정림,대전,서구
0,뚝섬유원지,서울,광진구
0,송파삼전,서울,송파구
0,광교D/T,경기,용인시
0,구로IT,서울,구로구
0,퇴계원,경기,남양주시
0,홈플러스영등포,서울,영등포구
0,홈플러스김포,경기,김포시
0,부천중동,경기,부천시
0,수락산역,서울,노원구
0,롯데마트행당역,서울,성동구
0,울산화봉,울산,북구
0,롯데마트수원천천,롯데마트,천천점
0,한남대,대전,대덕구
0,한성대입구역,서울,성북구
0,전남대,광주,북구
0,청구역,서울,중구
0,목포용해,전남,목포시
0,동해쇄운,동해시,쇄운동
0,롯데씨네마광주수완,광주,광산구
0,부산화명,부산,북구
0,홈플러스부산연산,부산,연제구
0,강릉D/T,강원,강릉시
0,진해중앙,경남,창원시
0,대방역,서울,영등포구
0,철원와수,강원,철원군
0,전주삼천,전북,전주시
0,무주,전북,무주군
0,괴산,충북,괴산군
0,포천운천,경기,포천시
0,원주단계,강원,원주시
0,롯데마트원주,강원,원주시
0,동대구역사,대구,동구
0,포항문덕,경북,포항시
0,홈플러스경주,경북,경주시
0,광주양산,광주,북구
0,구미봉곡,경북,구미시
0,홈플러스안산,경기,안산시
0,롯데몰김포공항,서울,강서구
0,대구동호D/T,대구,동구
0,신경주역사,경북,경주시
0,파주아울렛,경기,파주시
0,송파,서울,송파구
0,김포양곡,경기,김포시
0,중동인성,경기,부천시
0,오이도D/I,경기,시흥시
0,중곡,중곡동,중마
0,홈플러스작전,인천,계양구
0,울산세이브존,울산,남구
0,롯데마트송파,서울,송파구
0,대전와동D/T,대전광역시,대덕구
0,충주연수,충북,충주시
0,망우,서울,중랑구
0,인천청라,인천,서구
0,영광,전남,영광군
0,청양,충남,청양군
0,NC강서,서울,강서구
0,광주동강대,광주,북구
0,상계,서울,노원구
0,부산미남역,지하철,3호선
0,일산킨텍스,경기,고양시
0,강남역,강남역,9번이나
0,대구스타디움,대구,수성구
0,부산명지,부산,강서구
0,방학,방학,4거리에서
0,시흥월곶,경기,시흥시
0,상암,서울,마포구
0,광양마동,전남,광양시
0,강일,서울,강동구
0,발산역,서울,강서구
0,문막,강원,원주시
0,대구수성,대구,수성구
0,목동행복한백화점,서울,양천구
0,종암,서울,성북구
0,마산내서,경남,창원시
0,청주터미널,충북,청주시
0,천안상록리조트,충남,천안시
0,광명하안,경기,광명시
