,기업명,기업코드,현재가,매도호가,전일대비,매수호가,등락률,전일가,거래량,시가,거래대금,고가,액면가,저가,상한가,전일상한,하한가,전일하한,PER,EPS,52주 최고,52주 최저,시가총액,상장주식수,외국인현재,자본금
242,코프라,126600,6840,6840,60,6830,-0.87,6900,624877,6920,4248,6950,500,6700,8970,8760,4830,4720,9.83,696,7000,3270,1444,21115634,822,10557
243,크로바하이텍,43590,2485,0,0,0,0.00,2485,0,0,0,0,500,0,0,0,0,0,-17.02,-146,0,0,740,29764643,134,14882
244,키네마스터,139670,26900,26950,200,26900,+0.75,26700,528679,27000,14307,27600,500,26250,34700,34550,18700,18650,146.20,184,63300,8120,3644,13546307,252,6773
245,테스나,131970,50900,50900,1100,50800,-2.12,52000,173113,52200,8832,52200,500,50600,67600,67300,36400,36300,21.20,2401,100400,33700,7513,14759577,972,7379
246,토탈소프트,45340,13600,13600,350,13550,+2.64,13250,117457,13200,1571,13650,500,13100,17200,17550,9300,9450,69.74,195,28650,3930,1164,8558040,64,4279
247,트루윈,105550,7150,7170,50,7150,+0.70,7100,300466,7130,2173,7360,500,7130,9230,8970,4970,4830,-87.20,-82,8500,3040,1392,19475107,496,9709
248,특수건설,26150,13500,13500,100,13450,+0.75,13400,648307,13450,8733,13700,500,13250,17400,16700,9400,9000,232.76,58,17150,5750,2109,15625726,391,7812
249,티앤알바이오팹,246710,56800,56800,500,56600,+0.89,56300,159524,55800,9115,58700,500,55500,73100,67800,39500,36600,-90.02,-631,63000,11300,4812,8471975,283,4235
250,파라텍,33540,3015,3020,50,3015,-1.63,3065,649102,3085,1956,3085,200,2980,3980,4015,2150,2165,-79.34,-38,17050,2500,1280,42459225,270,8491
251,파세코,37070,21250,21250,550,21200,-2.52,21800,350352,21700,7432,21800,500,20900,28300,28900,15300,15600,19.02,1117,29950,10400,2975,14000000,38,7000
252,파워로직스,47310,8700,8720,300,8700,-3.33,9000,512401,9000,4537,9020,500,8700,11700,11650,6300,6290,-20.96,-415,11050,6540,2995,34420982,1210,17442
253,파커스,65690,3635,3665,5,3635,-0.14,3640,83664,3665,305,3680,500,3635,4730,4730,2550,2550,-5.91,-615,4330,2245,511,14049331,379,7024
254,패션플랫폼,225590,1710,1710,10,1700,-0.58,1720,305245,1730,521,1735,100,1680,2235,2190,1205,1180,55.16,31,1880,1020,455,26636713,919,2663
255,포인트엔지니어링,256630,3705,3715,115,3705,-3.01,3820,317558,3820,1191,3825,100,3650,4965,4950,2675,2670,25.73,144,4375,2580,2130,57481947,1823,5748
256,푸드웰,5670,9150,9150,160,9140,-1.72,9310,91499,9380,836,9380,500,9080,12100,12100,6520,6520,16.19,565,11900,4510,915,10000000,73,5000
257,프로스테믹스,203690,3425,3425,85,3420,-2.42,3510,329147,3530,1130,3530,100,3385,4560,4585,2460,2475,-28.31,-121,5200,3085,1567,45756948,732,4575
258,피델릭스,32580,1500,1505,5,1500,+0.33,1495,180073,1500,269,1515,500,1480,1940,1950,1050,1050,-7.54,-199,1920,1230,497,33132064,10735,16566
259,피에스엠씨,24850,1710,1715,15,1710,-0.87,1725,288498,1750,492,1750,500,1685,2240,2235,1210,1205,-11.79,-145,2950,750,694,40573626,1297,20286
260,피제이전자,6140,12550,12600,250,12550,-1.95,12800,46206,12850,583,12950,500,12450,16600,16800,9000,9100,26.31,477,15850,4605,1882,15000000,275,7500
261,하나금융15호스팩,341160,2205,2205,5,2195,+0.23,2200,1974,2195,4,2210,100,2190,2860,2870,1540,1550,275.62,8,2850,2005,104,4710000,0,471
262,하나기술,299030,69000,69100,700,69000,-1.00,69700,116181,69700,8070,70500,500,68700,90600,89800,48800,48400,-12.05,-5724,163400,54500,5123,7424802,18,3712
263,하이즈항공,221840,5840,5880,150,5840,-2.50,5990,39603,6040,233,6040,500,5830,7780,7890,4200,4250,-16.00,-365,7180,3300,1033,17696167,579,8848
